run,sampling_method,threads,stop_mode,number_of_samples,time_to_completion_s,returncode,cmd
1,NBE,32,num_samples,90000000,28.192,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,32,precision,1632010149,559.652,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,64,num_samples,90000000,17.150,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,64,precision,1632010149,406.999,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,128,num_samples,90000000,13.990,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,128,precision,1632010149,294.302,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,1,num_samples,90000000,85.077,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,1,precision,1632010149,1548.880,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,2,num_samples,90000000,62.336,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,2,precision,1632010149,1185.157,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,4,num_samples,90000000,44.535,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,4,precision,1632010149,958.711,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,8,num_samples,90000000,51.918,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,8,precision,1632010149,580.268,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,16,num_samples,90000000,38.785,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,16,precision,1632010149,397.369,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,32,num_samples,90000000,26.558,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,32,precision,1632010149,358.241,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,64,num_samples,90000000,20.550,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,64,precision,1632010149,268.528,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,128,num_samples,90000000,15.160,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,MCMC,128,precision,1632010149,233.611,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,1,num_samples,90000000,92.362,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,1,precision,1632010149,1700.612,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,2,num_samples,90000000,55.390,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,2,precision,1632010149,1177.144,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,4,num_samples,90000000,38.709,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,4,precision,1632010149,785.382,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,8,num_samples,90000000,19.458,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,8,precision,1632010149,363.795,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,16,num_samples,90000000,20.494,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,16,precision,1632010149,183.942,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,32,num_samples,90000000,11.699,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,32,precision,1632010149,211.104,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,64,num_samples,90000000,6.677,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,64,precision,1632010149,130.612,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,128,num_samples,90000000,4.640,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,EBE,128,precision,1632010149,89.591,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,1,num_samples,90000000,660.025,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,1,precision,N/A,6000.026,TIMEOUT,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,2,num_samples,90000000,344.699,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,2,precision,N/A,6000.016,TIMEOUT,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,4,num_samples,90000000,181.952,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,4,precision,1632010149,4912.984,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,8,num_samples,90000000,93.584,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,8,precision,1632010149,1643.852,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,16,num_samples,90000000,53.832,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,16,precision,1632010149,930.627,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,32,num_samples,90000000,28.029,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
2,NBE,32,precision,1632010149,569.252,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
